"Rank","Title","Description","Runtime","Genre","Rating","Metascore","Votes","Gross_Earning_in_Mil","Director","Actor"
1,"Люди Икс: Апокалипсис","    In the 1980s the X-Men must defeat an ancient all-powerful mutant, En Sabah Nur, who intends to thrive through bringing destruction to the world.",144,"Action",7,52,357345,155.44,"Bryan Singer","James McAvoy"
2,"Тайная жизнь домашних животных","    The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes.",87,"Animation",6.5,61,162440,368.38,"Chris Renaud","Louis C.K."
3,"Зверопой","    In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists find that their lives will never be the same.",108,"Animation",7.1,59,116117,270.4,"Garth Jennings","Matthew McConaughey"
4,"Годзилла","    Japan is plunged into chaos upon the appearance of a giant monster.",120,"Action",6.7,67,18175,1.91,"Hideaki Anno","Hiroki Hasegawa"
5,"Первый мститель: Противостояние","    Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.",147,"Action",7.8,75,584224,408.08,"Anthony Russo","Chris Evans"
6,"Отряд самоубийц","    A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse.",123,"Action",6,40,533444,325.1,"David Ayer","Will Smith"
7,"Лунный свет","    A chronicle of the childhood, adolescence and burgeoning adulthood of a young, African-American, gay man growing up in a rough neighborhood of Miami.",111,"Drama            ",7.4,99,228224,27.85,"Barry Jenkins","Mahershala Ali"
8,"Сплит","    Three girls are kidnapped by a man with a diagnosed 23 distinct personalities. They must try to escape before the apparent emergence of a frightful new 24th.",117,"Horror",7.3,62,359227,138.29,"M. Night Shyamalan","James McAvoy"
9,"Изгой-один. Звёздные войны: Истории","    The daughter of an Imperial scientist joins the Rebel Alliance in a risky move to steal the Death Star plans.",133,"Action",7.8,65,479003,532.18,"Gareth Edwards","Felicity Jones"
10,"Дэдпул","    A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.",108,"Action",8,65,821533,363.07,"Tim Miller","Ryan Reynolds"
11,"Затерянный город Z","    A true-life drama, centering on British explorer Col. Percival Fawcett, who disappeared whilst searching for a mysterious city in the Amazon in the 1920s.",141,"Adventure",6.6,78,66537,8.58,"James Gray","Charlie Hunnam"
12,"До встречи с тобой","    A girl in a small town forms an unlikely bond with a recently-paralyzed man she's taking care of.",106,"Drama",7.4,51,174880,56.25,"Thea Sharrock","Emilia Clarke"
13,"Доктор Стрэндж","    While on a journey of physical and spiritual healing, a brilliant neurosurgeon is drawn into the world of the mystic arts.",115,"Action",7.5,72,515254,232.64,"Scott Derrickson","Benedict Cumberbatch"
14,"Девушка в поезде","    A divorcee becomes entangled in a missing persons investigation that promises to send shockwaves throughout her life.",112,"Crime",6.5,48,151117,75.4,"Tate Taylor","Emily Blunt"
15,"По соображениям совести","    World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people, and becomes the first man in American history to receive the Medal of Honor without firing a shot.",139,"Biography",8.1,71,367351,67.21,"Mel Gibson","Andrew Garfield"
16,"Прибытие","    A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecraft appear around the world.",116,"Drama",7.9,81,516044,100.55,"Denis Villeneuve","Amy Adams"
17,"Бэтмен против Супермена: На заре справедливости","    Fearing that the actions of Superman are left unchecked, Batman takes on the Man of Steel, while the world wrestles with what kind of a hero it really needs.",151,"Action",6.5,44,577251,330.36,"Zack Snyder","Ben Affleck"
18,"Тарзан. Легенда","    Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.",110,"Action",6.3,44,150253,126.64,"David Yates","Alexander Skarsgard"
19,"Моана","    In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right.",107,"Animation",7.6,81,224518,248.76,"Ron Clements","Auli'i Cravalho"
20,"Фантастические твари и где они обитают","    The adventures of writer Newt Scamander in New York's secret community of witches and wizards seventy years before Harry Potter reads his book in school.",132,"Adventure",7.3,66,365687,234.04,"David Yates","Eddie Redmayne"
21,"Парни со стволами","    Loosely based on the true story of two young men, David Packouz and Efraim Diveroli, who won a three hundred million dollar contract from the Pentagon to arm America's allies in Afghanistan.",114,"Comedy",7.1,57,154149,43.02,"Todd Phillips","Jonah Hill"
22,"Пассажиры","    A spacecraft traveling to a distant colony planet and transporting thousands of people has a malfunction in its sleep chambers. As a result, two passengers are awakened 90 years early.",116,"Drama",7,41,311366,100.01,"Morten Tyldum","Jennifer Lawrence"
23,"Боги Египта","    Mortal hero Bek teams with the god Horus in an alliance against Set, the merciless god of darkness, who has usurped Egypt's throne, plunging the once peaceful and prosperous empire into chaos and conflict.",127,"Action",5.4,25,95182,31.15,"Alex Proyas","Brenton Thwaites"
24,"Ла-Ла Ленд","    While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.",128,"Comedy",8,93,436356,151.1,"Damien Chazelle","Ryan Gosling"
25,"Американская милашка","    A teenage girl with nothing to lose joins a traveling magazine sales crew, and gets caught up in a whirlwind of hard partying, law bending and young love as she criss-crosses the Midwest with a band of misfits.",163,"Adventure",7,79,31709,0.66,"Andrea Arnold","Sasha Lane"
26,"13 часов: Тайные солдаты Бенгази","    During an attack on a U.S. compound in Libya, a security team struggles to make sense out of the chaos.",144,"Action",7.3,48,103757,52.85,"Michael Bay","John Krasinski"
27,"Охотники за привидениями","    Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat.",116,"Action",5.2,60,186906,128.34,"Paul Feig","Melissa McCarthy"
28,"Твое имя","    Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?",106,"Animation",8.4,79,134440,5.02,"Makoto Shinkai","Ryunosuke Kamiki"
29,"Джек Ричер 2: Никогда не возвращайся","    Jack Reacher must uncover the truth behind a major government conspiracy in order to clear his name. On the run as a fugitive from the law, Reacher uncovers a potential secret from his past that could change his life forever.",118,"Action",6.1,47,122009,58.7,"Edward Zwick","Tom Cruise"
30,"Скрытые фигуры","    The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.",127,"Biography",7.8,74,171285,169.61,"Theodore Melfi","Taraji P. Henson"
31,"Зверополис","    In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.",108,"Animation",8,78,383824,341.27,"Byron Howard","Ginnifer Goodwin"
