"Period.Date","Reporter","Trade.Value.USD","period"
2010-08-01 04:00:00,"Armenia",1170,авг 2010
2011-10-01 04:00:00,"Armenia",23740,окт 2011
2011-11-01 04:00:00,"Armenia",1440,ноя 2011
2011-12-01 04:00:00,"Armenia",23652,дек 2011
2012-05-01 04:00:00,"Armenia",151,май 2012
2012-06-01 04:00:00,"Armenia",35674,июн 2012
2012-10-01 04:00:00,"Armenia",210,окт 2012
2012-11-01 04:00:00,"Armenia",198,ноя 2012
2013-02-01 04:00:00,"Armenia",387,фев 2013
2013-03-01 04:00:00,"Armenia",3963,мар 2013
2013-04-01 04:00:00,"Armenia",659,апр 2013
2013-05-01 04:00:00,"Armenia",1031,май 2013
2013-10-01 04:00:00,"Armenia",127,окт 2013
2013-11-01 04:00:00,"Armenia",414,ноя 2013
2013-12-01 04:00:00,"Armenia",277,дек 2013
2014-11-01 03:00:00,"Armenia",1135,ноя 2014
2015-02-01 03:00:00,"Armenia",1616,фев 2015
2015-03-01 03:00:00,"Armenia",21015,мар 2015
2015-11-01 03:00:00,"Armenia",2635,ноя 2015
2015-12-01 03:00:00,"Armenia",7272,дек 2015
2016-02-01 03:00:00,"Armenia",54622,фев 2016
2016-04-01 03:00:00,"Armenia",4650,апр 2016
2016-05-01 03:00:00,"Armenia",5009,май 2016
2016-06-01 03:00:00,"Armenia",2329,июн 2016
2016-07-01 03:00:00,"Armenia",4251,июл 2016
2016-09-01 03:00:00,"Armenia",2783,сен 2016
