"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,22,"BLR","Belarus",1,"Brest",1,"Baranavichy","BY.BR.BA",NA,"","Raion","District","","Baranovichi"
2,22,"BLR","Belarus",1,"Brest",2,"Biaroza","BY.BR.BZ",NA,"","Raion","District","","Bereza"
3,22,"BLR","Belarus",1,"Brest",3,"Brest","BY.BR.BR",NA,"","Raion","District","",""
4,22,"BLR","Belarus",1,"Brest",4,"Drahichyn","BY.BR.DG",NA,"","Raion","District","","Drogichin"
5,22,"BLR","Belarus",1,"Brest",5,"Hancavichy","BY.BR.GA",NA,"","Raion","District","","Gancevichi"
6,22,"BLR","Belarus",1,"Brest",6,"Ivanaw","BY.BR.IN",NA,"","Raion","District","","Ivanovo"
7,22,"BLR","Belarus",1,"Brest",7,"Ivatsevichy","BY.BR.IV",NA,"","Raion","District","","Ivatsevichi"
8,22,"BLR","Belarus",1,"Brest",8,"Kamyanyets","BY.BR.KN",NA,"","Raion","District","","Kamenets"
9,22,"BLR","Belarus",1,"Brest",9,"Kobryn'","BY.BR.KB",NA,"","Raion","District","","Kobrin"
10,22,"BLR","Belarus",1,"Brest",10,"Luninets","BY.BR.LU",NA,"","Raion","District","",""
11,22,"BLR","Belarus",1,"Brest",11,"Lyakhavichy","BY.BR.LH",NA,"","Raion","District","","Lyahovichi"
12,22,"BLR","Belarus",1,"Brest",12,"Malaryta","BY.BR.ML",NA,"","Raion","District","","Malorita"
13,22,"BLR","Belarus",1,"Brest",13,"Pinsk","BY.BR.PI",NA,"","Raion","District","",""
14,22,"BLR","Belarus",1,"Brest",14,"Pruzhany","BY.BR.PR",NA,"","Raion","District","","Pruzhanu"
15,22,"BLR","Belarus",1,"Brest",15,"Stolin","BY.BR.ST",NA,"","Raion","District","",""
16,22,"BLR","Belarus",1,"Brest",16,"Zhabinka","BY.BR.ZH",NA,"","Raion","District","",""
17,22,"BLR","Belarus",2,"Homyel'",17,"Aktsyabar","BY.HO.OK",NA,"","Raion","District","","Oktyabrski"
18,22,"BLR","Belarus",2,"Homyel'",18,"Brahin","BY.HO.BG",NA,"","Raion","District","",""
19,22,"BLR","Belarus",2,"Homyel'",19,"Buda-Kashalyowa","BY.HO.BK",NA,"","Raion","District","","Buda-Koshelevo"
20,22,"BLR","Belarus",2,"Homyel'",20,"Chachersk","BY.HO.CC",NA,"","Raion","District","","Chechersk"
21,22,"BLR","Belarus",2,"Homyel'",21,"Dobrush","BY.HO.DB",NA,"","Raion","District","",""
22,22,"BLR","Belarus",2,"Homyel'",22,"Homyel'","BY.HO.HM",NA,"","Raion","District","","Homyel"
23,22,"BLR","Belarus",2,"Homyel'",23,"Kalinkavichy","BY.HO.KA",NA,"","Raion","District","","Kalinkovichi"
24,22,"BLR","Belarus",2,"Homyel'",24,"Karma","BY.HO.KO",NA,"","Raion","District","","Korma"
25,22,"BLR","Belarus",2,"Homyel'",25,"Khoyniki","BY.HO.HN",NA,"","Raion","District","","Khoiniki"
26,22,"BLR","Belarus",2,"Homyel'",26,"Loyew","BY.HO.LO",NA,"","Raion","District","","Loev"
27,22,"BLR","Belarus",2,"Homyel'",27,"Lyel'chytsy","BY.HO.LC",NA,"","Raion","District","","Lelchitsu"
28,22,"BLR","Belarus",2,"Homyel'",28,"Mazyr","BY.HO.MZ",NA,"","Raion","District","","Mozyr"
29,22,"BLR","Belarus",2,"Homyel'",29,"Narowlya","BY.HO.NA",NA,"","Raion","District","","Narovlya"
30,22,"BLR","Belarus",2,"Homyel'",30,"Pyetrykaw","BY.HO.PE",NA,"","Raion","District","","Petrikov"
31,22,"BLR","Belarus",2,"Homyel'",31,"Rahachow","BY.HO.RE",NA,"","Raion","District","","Rogachev"
32,22,"BLR","Belarus",2,"Homyel'",32,"Rechytsa","BY.HO.RG",NA,"","Raion","District","","Rechitsa"
33,22,"BLR","Belarus",2,"Homyel'",33,"S'vyetlahorsk","BY.HO.SV",NA,"","Raion","District","","Svetlogorsk"
34,22,"BLR","Belarus",2,"Homyel'",34,"Vyetka","BY.HO.VT",NA,"","Raion","District","","Vetka"
35,22,"BLR","Belarus",2,"Homyel'",35,"Yel'sk","BY.HO.EL",NA,"","Raion","District","","Elsk"
36,22,"BLR","Belarus",2,"Homyel'",36,"Zhlobin","BY.HO.ZB",NA,"","Raion","District","",""
37,22,"BLR","Belarus",2,"Homyel'",37,"Zhytkavichy","BY.HO.ZK",NA,"","Raion","District","","Zhitkovichi"
38,22,"BLR","Belarus",3,"Hrodna",38,"Ashmyany","BY.HR.OM",NA,"","Raion","District","","Oshmyanu"
39,22,"BLR","Belarus",3,"Hrodna",39,"Astravyets","BY.HR.OV",NA,"","Raion","District","","Ostrovets"
40,22,"BLR","Belarus",3,"Hrodna",40,"Byerastavitsa","BY.HR.BE",NA,"","Raion","District","","Berestovitsa"
41,22,"BLR","Belarus",3,"Hrodna",41,"Dzyatlava","BY.HR.DY",NA,"","Raion","District","","Dyatlovo"
42,22,"BLR","Belarus",3,"Hrodna",42,"Hrodna","BY.HR.HR",NA,"","Raion","District","",""
43,22,"BLR","Belarus",3,"Hrodna",43,"Iwye","BY.HR.IY",NA,"","Raion","District","","Ivye"
