address_ru;address_eng;hyperlink;lat;lng;raw.yandex
Корпус №1 (пр.Вернадского, д.84);Building 1 (pr.Vernadskogo, 84 - Yugo-Zapadnaya metro station);http://www.ranepa.ru/lyceum/infrastruktura/korpusa-akademii/korpus-1;55,66513657;37,478603;[55.66513656907142,37.47860299999998]
Корпус №2 (пр.Вернадского, д.82, стр.3);Building 2 (pr.Vernadskogo, 82, b.3 - Yugo-Zapadnaya metro station);http://www.ranepa.ru/lyceum/infrastruktura/korpusa-akademii/korpus-2;55,66880757;37,4767525;[55.668807569080855,37.47675249999993]
Корпус №3 (пр.Вернадского, д.82, стр.4);Building 3 (pr.Vernadskogo, 82, b.4 - Yugo-Zapadnaya metro station);http://www.ranepa.ru/lyceum/infrastruktura/korpusa-akademii/korpus-3;55,66841157;37,4756385;[55.66841156907988,37.475638499999974]
Корпус №4 (пр.Вернадского, д.82, стр.2);Building 4 (pr.Vernadskogo, 82, b.2 - Yugo-Zapadnaya metro station);http://www.ranepa.ru/lyceum/infrastruktura/korpusa-akademii/korpus-4;55,66734057;37,4756025;[55.66734056907708,37.47560249999999]
Корпус №5 (пр.Вернадского, д.82, стр.1);Building 5 (pr.Vernadskogo, 82, b.1 - Yugo-Zapadnaya metro station);http://www.ranepa.ru/lyceum/infrastruktura/korpusa-akademii/korpus-5;55,66719807;37,477067;[55.667198069047,37.47706699999999]
Корпус №6 (пр.Вернадского, д.84, стр.2);Building 6 (Vernadsky prospect, 84, b.2 - Yugo-Zapadnaya metro station);http://www.ranepa.ru/lyceum/infrastruktura/korpusa-akademii/korpus-6;55,66607607;37,4761055;[55.66607606904411,37.47610549999992]
Корпус №7 (пр.Вернадского, д.84, к.1);Building 7 (pr.Vernadskogo, 84, b.1 - Yugo-Zapadnaya metro station);http://www.ranepa.ru/lyceum/infrastruktura/korpusa-akademii/korpus-7;55,66607607;37,4761055;[55.66607606904411,37.47610549999992]
Корпус №8 (пр.Вернадского, д.84, к.2);Building 8 (pr.Vernadskogo, 84, b.2 - Yugo-Zapadnaya metro station);http://www.ranepa.ru/lyceum/infrastruktura/korpusa-akademii/korpus-8;55,66511657;37,4752345;[55.66511656907143,37.475234500000006]
Корпус №9 (пр.Вернадского, д.84, к.3);Building 9 (pr.Vernadskogo, 84, b.3 - Yugo-Zapadnaya metro station);http://www.ranepa.ru/lyceum/infrastruktura/korpusa-akademii/korpus-9;55,66547657;37,473303;[55.66547656907232,37.473302999999994]
Улица Хавская, 8 (М. Шаболовская);Khavskaya Street, 8 (Shabolovskaya metro station);http://www.ism.ranepa.ru/students/kampus-akademii-na-ul-khavskaya-8/;55,71970807;37,6133055;[55.719708069003254,37.61330549999995]
Пречистенская набережная, 11 (М. Парк культуры);Prechistenskaya naberezhnaya, 11 (Park Kultury metro station);http://mpa.ranepa.ru/;55,73775007;37,6034955;[55.73775006899002,37.603495499999965]
Товарищеский переулок, 19 (М. Таганская);Tovarishcheskiy pereulok, 19 (Taganskaya metro station);;55,74341607;37,6639255;[55.74341606900457,37.66392549999996]
Волгоградский проспект, 43 (М. Текстильщики);Volgogradsky prospect, 43 (Tekstilshchiki metro station);http://www.ism.ranepa.ru/students/kampus-akademii-na-volgogradskom-prospekte-43/;55,71507357;37,719513;[55.715073569021136,37.71951299999995]
ул. Садовники, 4 к.2;Sadovniki st., 4 b.2 (Kolomenskaya metro station);;55,67436707;37,649732;[55.67436706906536,37.649731999999986]
